imagen,objeto_id,R,G,B,H,S,V,area,perimetro,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,longitud_skel,terminaciones,bbox_ratio,extent,solidity
1.png,0,52.8871875,63.819375,76.96125,43.458125,35.8521875,76.97,1032.5,279.7817442417145,1.2629883587238047,1.5599987438712313,0.004670677664023675,0.0030287947671237114,1.133356771326539e-05,0.0033268321530135815,-1.1509839809790858e-06,115.0,2.0,0.19047619047619047,0.38425925925925924,0.7736351531291611
1_2.png,0,24.41673344017094,25.110777243589745,26.194043803418804,10.31670673076923,5.65758547008547,27.282919337606838,1792.0,356.98484468460083,1.2346257317267,1.4905753154944061,0.011242655514705824,0.00951585243310442,9.84048130390611e-05,0.01123211966421835,-1.9997763345540246e-06,120.0,2.0,0.9126984126984127,0.13305728088336785,0.8117894736842105
1.png,0,52.8871875,63.819375,76.96125,43.458125,35.8521875,76.97,1032.5,279.7817442417145,1.2629883587238047,1.5599987438712313,0.004670677664023675,0.0030287947671237114,1.133356771326539e-05,0.0033268321530135815,-1.1509839809790858e-06,115.0,2.0,0.19047619047619047,0.38425925925925924,0.7736351531291611
2 _2.png,0,66.8125,67.65975215517241,67.28502155172414,19.446390086206897,3.9224137931034484,68.53502155172414,1005.5,278.46803629398346,1.3047819029221175,1.6660381932433395,0.03958173038931444,0.035769534298634754,0.0013458586652157862,0.04533967961506257,1.2206625167268659e-05,121.0,2.0,4.703703703703703,0.33129192184310297,0.7588510354041417
2 _2.png,1,31.2609375,30.31140625,29.247890625,5.0459375,2.902734375,31.48359375,1597.5,341.1442222595215,1.2429016144088267,1.510633128565764,0.004311186282777609,0.0031893248558564112,1.1809653708037146e-05,0.003642972936516175,-6.26043403886737e-07,118.0,2.0,1.2857142857142858,0.14026563006154844,0.7959558823529411
1.png,0,52.8871875,63.819375,76.96125,43.458125,35.8521875,76.97,1032.5,279.7817442417145,1.2629883587238047,1.5599987438712313,0.004670677664023675,0.0030287947671237114,1.133356771326539e-05,0.0033268321530135815,-1.1509839809790858e-06,115.0,2.0,0.19047619047619047,0.38425925925925924,0.7736351531291611
2.png,0,66.8125,67.65975215517241,67.28502155172414,19.446390086206897,3.9224137931034484,68.53502155172414,1005.5,278.46803629398346,1.3047819029221175,1.6660381932433395,0.03958173038931444,0.035769534298634754,0.0013458586652157862,0.04533967961506257,1.2206625167268659e-05,121.0,2.0,4.703703703703703,0.33129192184310297,0.7588510354041417
2.png,1,31.2609375,30.31140625,29.247890625,5.0459375,2.902734375,31.48359375,1597.5,341.1442222595215,1.2429016144088267,1.510633128565764,0.004311186282777609,0.0031893248558564112,1.1809653708037146e-05,0.003642972936516175,-6.26043403886737e-07,118.0,2.0,1.2857142857142858,0.14026563006154844,0.7959558823529411
1.png,0,52.8871875,63.819375,76.96125,43.458125,35.8521875,76.97,1032.5,279.7817442417145,1.2629883587238047,1.5599987438712313,0.004670677664023675,0.0030287947671237114,1.133356771326539e-05,0.0033268321530135815,-1.1509839809790858e-06,115.0,2.0,0.19047619047619047,0.38425925925925924,0.7736351531291611
3.png,0,32.915406586021504,31.62298387096774,30.43136760752688,5.113155241935484,3.3119119623655915,33.069808467741936,1527.0,333.9310188293457,1.2300198871712158,1.479191086885696,0.002058573222740669,0.0010726331342061838,1.5629853150489546e-06,0.0010422466759328155,-3.12380000826706e-07,119.0,2.0,1.3846153846153846,0.144863073434502,0.8047480620155039
