Cluster_ID	Punto_X	Punto_Y	Color(B,G,R)
0	607	502	(2,20,251)
0	931	220	(2,20,251)
0	1357	419	(2,20,251)
0	1360	915	(2,20,251)
0	1149	377	(2,20,251)
0	1394	798	(2,20,251)
0	1041	373	(2,20,251)
0	822	482	(2,20,251)
0	907	232	(2,20,251)
0	802	449	(2,20,251)
0	1171	487	(2,20,251)
0	911	625	(2,20,251)
0	1474	613	(2,20,251)
0	809	358	(2,20,251)
0	976	553	(2,20,251)
0	1309	965	(2,20,251)
0	1017	1064	(2,20,251)
0	1453	687	(2,20,251)
1	1856	220	(255,255,255)
1	511	40	(255,255,255)
1	115	176	(255,255,255)
1	1109	1237	(255,255,255)
1	1533	743	(255,255,255)
1	348	800	(255,255,255)
1	1005	1195	(255,255,255)
1	256	774	(255,255,255)
1	398	148	(255,255,255)
1	1686	1256	(255,255,255)
1	1887	1337	(255,255,255)
1	1322	1108	(255,255,255)
1	821	1167	(255,255,255)
1	1993	674	(255,255,255)
1	2006	407	(255,255,255)
1	327	691	(255,255,255)
1	1629	680	(255,255,255)
1	1518	1268	(255,255,255)
1	167	1340	(255,255,255)
1	1640	813	(255,255,255)
1	1061	144	(255,255,255)
1	51	20	(255,255,255)
1	1593	357	(255,255,255)
1	1250	1242	(255,255,255)
1	1722	348	(255,255,255)
1	1743	1023	(255,255,255)
1	943	1176	(255,255,255)
1	1403	1249	(255,255,255)
1	590	1005	(255,255,255)
1	37	789	(255,255,255)
1	250	333	(255,255,255)
1	563	863	(255,255,255)
1	1342	1142	(255,255,255)
1	163	343	(255,255,255)
1	11	85	(255,255,255)
1	1937	961	(255,255,255)
1	180	332	(255,255,255)
1	1661	473	(255,255,255)
1	558	224	(255,255,255)
1	1537	511	(255,255,255)
1	59	816	(255,255,255)
1	220	96	(255,255,255)
1	837	1142	(255,255,255)
1	1774	104	(255,255,255)
1	1781	524	(255,255,255)
1	2014	1272	(255,255,255)
1	1955	1257	(255,255,255)
2	72	469	(2,4,5)
3	790	1069	(11,20,217)
4	1710	174	(255,255,255)
5	502	531	(255,255,255)
6	1994	400	(255,255,255)
7	825	1159	(255,255,255)
8	344	217	(255,255,255)
9	1297	9	(255,255,255)
10	1832	1308	(255,255,255)
11	1961	884	(255,255,255)
12	475	219	(255,255,255)
13	103	1184	(255,255,255)
14	199	678	(255,255,255)
15	105	122	(255,255,255)
16	47	966	(255,255,255)
