Paso	Cluster1	Cluster2	Distancia	TamañoNuevoCluster
1	0	1	0.000	2
2	2	3	0.000	2
3	4	5	0.000	2
4	6	7	0.000	2
5	8	12	0.000	2
6	9	10	0.000	2
7	11	13	0.000	2
8	14	15	0.000	2
9	16	17	0.000	2
10	18	19	0.000	2
11	20	21	0.000	2
12	22	25	0.000	2
13	23	29	0.000	2
14	26	27	0.000	2
15	28	30	0.000	2
16	31	32	0.000	2
17	33	34	0.000	2
18	35	37	0.000	2
19	36	38	0.000	2
20	39	40	0.000	2
21	41	44	0.000	2
22	42	291	0.000	2
23	45	46	0.000	2
24	47	48	0.000	2
25	49	51	0.000	2
26	50	56	0.000	2
27	52	53	0.000	2
28	54	55	0.000	2
29	57	61	0.000	2
30	58	59	0.000	2
31	60	62	0.000	2
32	63	65	0.000	2
33	64	66	0.000	2
34	67	71	0.000	2
35	69	70	0.000	2
36	72	73	0.000	2
37	74	75	0.000	2
38	76	78	0.000	2
39	77	79	0.000	2
40	80	81	0.000	2
41	82	83	0.000	2
42	84	87	0.000	2
43	85	86	0.000	2
44	88	89	0.000	2
45	90	92	0.000	2
46	91	99	0.000	2
47	93	94	0.000	2
48	95	96	0.000	2
49	97	98	0.000	2
50	100	105	0.000	2
51	101	102	0.000	2
52	104	111	0.000	2
53	106	107	0.000	2
54	108	109	0.000	2
55	110	112	0.000	2
56	113	114	0.000	2
57	115	116	0.000	2
58	117	118	0.000	2
59	119	120	0.000	2
60	121	123	0.000	2
61	122	124	0.000	2
62	125	126	0.000	2
63	127	129	0.000	2
64	128	131	0.000	2
65	130	135	0.000	2
66	132	136	0.000	2
67	134	205	0.000	2
68	137	139	0.000	2
69	138	145	0.000	2
70	140	141	0.000	2
71	142	143	0.000	2
72	144	146	0.000	2
73	147	149	0.000	2
74	148	151	0.000	2
75	150	153	0.000	2
76	152	156	0.000	2
77	154	155	0.000	2
78	157	160	0.000	2
79	158	159	0.000	2
80	161	167	0.000	2
81	162	164	0.000	2
82	165	166	0.000	2
83	168	169	0.000	2
84	170	865	0.000	2
85	171	172	0.000	2
86	173	186	0.000	2
87	174	175	0.000	2
88	176	177	0.000	2
89	178	179	0.000	2
90	180	181	0.000	2
91	182	183	0.000	2
92	184	185	0.000	2
93	187	189	0.000	2
94	188	198	0.000	2
95	190	191	0.000	2
96	192	193	0.000	2
97	194	195	0.000	2
98	196	197	0.000	2
99	199	200	0.000	2
100	201	202	0.000	2
101	203	206	0.000	2
102	204	210	0.000	2
103	207	208	0.000	2
104	209	211	0.000	2
105	212	213	0.000	2
106	214	215	0.000	2
107	218	219	0.000	2
108	220	222	0.000	2
109	221	223	0.000	2
110	224	225	0.000	2
111	226	235	0.000	2
112	228	229	0.000	2
113	230	798	0.000	2
114	231	232	0.000	2
115	233	234	0.000	2
116	236	241	0.000	2
117	238	239	0.000	2
118	240	244	0.000	2
119	243	247	0.000	2
120	245	246	0.000	2
121	248	249	0.000	2
122	250	252	0.000	2
123	251	283	0.000	2
124	253	255	0.000	2
125	254	257	0.000	2
126	256	260	0.000	2
127	258	259	0.000	2
128	261	262	0.000	2
129	263	265	0.000	2
130	264	266	0.000	2
131	267	268	0.000	2
132	269	275	0.000	2
133	270	271	0.000	2
134	272	273	0.000	2
135	274	276	0.000	2
136	277	278	0.000	2
137	279	280	0.000	2
138	281	285	0.000	2
139	282	284	0.000	2
140	286	293	0.000	2
141	287	288	0.000	2
142	289	290	0.000	2
143	292	294	0.000	2
144	295	296	0.000	2
145	297	298	0.000	2
146	299	300	0.000	2
147	301	303	0.000	2
148	304	305	0.000	2
149	306	308	0.000	2
150	307	309	0.000	2
151	310	311	0.000	2
152	312	316	0.000	2
153	313	314	0.000	2
154	315	317	0.000	2
155	318	319	0.000	2
156	320	321	0.000	2
157	322	323	0.000	2
158	324	331	0.000	2
159	325	326	0.000	2
160	327	328	0.000	2
161	329	330	0.000	2
162	332	333	0.000	2
163	334	335	0.000	2
164	336	337	0.000	2
165	338	340	0.000	2
166	339	341	0.000	2
167	342	344	0.000	2
168	343	349	0.000	2
169	345	352	0.000	2
170	346	347	0.000	2
171	348	350	0.000	2
172	351	353	0.000	2
173	354	355	0.000	2
174	356	359	0.000	2
175	357	358	0.000	2
176	360	361	0.000	2
177	362	363	0.000	2
178	364	366	0.000	2
179	365	369	0.000	2
180	367	368	0.000	2
181	370	371	0.000	2
182	372	373	0.000	2
183	374	376	0.000	2
184	377	378	0.000	2
185	379	382	0.000	2
186	380	381	0.000	2
187	383	384	0.000	2
188	385	392	0.000	2
189	386	387	0.000	2
190	388	519	0.000	2
191	389	390	0.000	2
192	393	395	0.000	2
193	394	400	0.000	2
194	396	397	0.000	2
195	398	399	0.000	2
196	401	402	0.000	2
197	403	404	0.000	2
198	405	414	0.000	2
199	406	407	0.000	2
200	408	409	0.000	2
201	410	411	0.000	2
202	412	413	0.000	2
203	415	416	0.000	2
204	417	418	0.000	2
205	419	420	0.000	2
206	421	422	0.000	2
207	423	424	0.000	2
208	425	426	0.000	2
209	427	428	0.000	2
210	429	431	0.000	2
211	430	432	0.000	2
212	433	437	0.000	2
213	434	435	0.000	2
214	436	438	0.000	2
215	439	443	0.000	2
216	440	442	0.000	2
217	444	651	0.000	2
218	445	448	0.000	2
219	446	447	0.000	2
220	449	450	0.000	2
221	451	453	0.000	2
222	454	456	0.000	2
223	455	457	0.000	2
224	458	459	0.000	2
225	460	461	0.000	2
226	462	463	0.000	2
227	464	465	0.000	2
228	466	467	0.000	2
229	468	470	0.000	2
230	469	471	0.000	2
231	472	478	0.000	2
